사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-07,3호선,82,교대(법원.검찰청),6,0,1059,623,3027,6206,6879,19314,10557,45086,8670,30791,9524,13478,11282,9334,12936,8997,15518,9240,17060,8020,18782,7756,22210,7766,36684,9348,62120,12485,24389,6741,17568,3310,19778,2659,19156,2870,1677,1177,0,9,0,0,0,0,0,0
2021-07,3호선,83,남부터미널(예술의전당),36,2,2538,1312,7988,22793,24159,54690,34423,144825,27385,73004,24817,41298,28066,30854,29966,31772,31570,35445,31782,34990,37330,33756,46047,34949,78918,39576,124210,49940,55303,31291,35616,18066,34474,13770,25198,11161,3404,5004,0,70,0,0,0,0,0,0
2021-07,3호선,84,양재(서초구청),45,1,5109,2442,13291,39132,31044,99520,40861,223213,29299,112623,26106,47112,29108,35695,31411,34276,35265,38833,37230,33938,44596,32959,55751,35393,110946,45657,189925,62304,79363,43515,49967,24428,44619,21359,29808,18073,3671,7686,2,609,2,1,0,0,0,0
2021-07,3호선,85,매봉,13,4,1506,513,6534,8669,14313,22303,17462,66104,12293,38354,9621,13021,9798,10712,10344,10429,11828,10890,12768,9285,15064,9926,17554,10259,34394,14174,62172,20372,21586,13955,12880,7374,14075,6207,8508,6602,1309,2612,1,273,0,0,0,0,0,0
2021-07,3호선,86,도곡,22,0,1036,399,3426,4653,7524,11938,9704,20212,6342,14230,4629,6522,4951,5259,5720,5804,5754,6225,6206,5265,7364,5054,9779,4993,14209,6700,17105,9483,8254,7803,5297,4174,4504,3577,3742,3812,574,1227,5,564,0,0,0,0,0,0
2021-07,3호선,87,대치,10,0,2390,743,9836,8080,20127,20028,19996,26693,12043,19001,9691,12759,10162,11842,13380,14435,13987,16624,12419,14110,14830,14317,16762,16004,24601,21380,25833,24754,15579,18396,11216,9712,15308,8513,26229,9051,1510,3416,1,12,1,0,0,0,0,0
2021-07,3호선,88,학여울,5,0,567,310,1711,1610,3153,3021,3494,7047,2170,3876,1799,2848,1861,1963,2326,1990,2258,1853,2298,1978,2752,2072,3158,2107,3987,2626,6076,3853,2596,2989,1881,1680,1405,1423,990,1568,138,659,0,0,0,1,0,0,0,0
2021-07,3호선,89,대청,79,1,3172,1120,9316,6656,23133,12615,27490,25620,17114,11443,12888,7981,11755,7086,11293,9750,11433,9244,11673,9347,13453,11008,16107,11431,20137,15394,23712,23232,9114,19584,6239,11637,5195,10131,3775,11616,717,4105,2,56,0,0,0,0,0,0
2021-07,3호선,90,일원,5,0,2061,1456,7373,10467,19005,26205,18380,23442,13522,16873,13553,13995,14078,9903,13830,12053,12065,13041,13454,10820,16013,9996,20665,8574,29813,11344,15030,16665,7928,13752,5163,8318,3322,7835,2861,8488,627,2497,0,37,0,0,0,0,0,0
2021-07,3호선,91,수서,295,9,4562,2025,11426,15133,30585,30013,37389,47211,23906,27710,21390,19505,18089,15877,22786,19328,20089,18494,16965,18119,24092,20880,28102,23007,36609,29417,44793,42825,20422,31435,18892,19765,11767,15651,11148,16691,2297,4560,0,395,0,0,0,0,0,0
2021-07,3호선,92,가락시장,17,0,2414,572,6340,5508,17251,12003,20064,27405,13586,14130,11282,9974,11064,9566,11311,9841,10967,9775,10740,9971,11590,11441,12864,12061,17514,13995,26569,20345,10705,14281,7572,9255,6710,7352,4247,7153,638,2812,4,698,0,0,0,0,0,0
2021-07,3호선,93,경찰병원,10,0,2324,161,6790,3029,19827,8445,22130,28454,12957,12253,9325,8162,8302,5816,7746,6774,8233,7761,7900,6996,8682,7113,8490,7867,13322,11789,19418,19134,6280,14676,4859,8759,4306,7087,2827,6428,394,2604,0,523,0,0,0,0,0,0
2021-07,3호선,94,오금,5,0,3851,8,7265,2244,22512,5027,26320,12522,13035,5277,6990,4217,6051,3797,7039,4656,6507,5033,5163,4602,5309,6477,6136,7124,8824,11259,10784,19855,4078,14283,2958,8401,2599,7200,2033,8401,283,3137,0,750,0,1,0,0,0,0
2021-07,4호선,100,수유(강북구청),85,5,19636,2906,44366,12337,102867,19666,117530,53364,69207,34922,45990,27695,41155,28861,41786,31629,41043,34947,38390,36842,37474,43677,42244,53723,47672,68990,53791,117309,31097,99294,23616,56021,22702,48350,18111,43874,4286,22268,2,76,0,1,0,0,0,0
2021-07,4호선,101,미아(서울사이버대학),46,2,11084,1319,20006,4852,43987,11121,51063,28379,30996,16547,21349,13852,18713,13288,19056,13618,18318,15424,16791,15877,16941,20517,18174,22828,19403,28862,23498,45242,13580,36625,8635,21702,7064,19135,5195,17337,1196,8426,2,38,0,0,0,0,0,0
2021-07,4호선,102,미아사거리,70,6,14164,1930,35525,8686,85621,16039,97082,31552,55219,31010,36827,26390,34062,26227,33623,27686,33736,29642,31549,31361,33101,39190,35488,44359,36321,60367,38650,96881,27161,74489,26505,41187,16250,35186,11813,31192,2514,13168,2,2,2,1,0,0,0,0
2021-07,4호선,103,길음,13,2,9323,1924,27725,7825,72177,10996,78293,23254,40184,18300,26211,14714,21971,14981,23156,17021,22618,18422,19915,18800,19929,22391,22480,28223,24133,40717,23890,71965,14929,56050,10837,30375,8059,26354,8250,26528,1846,10681,2,3,0,0,0,0,0,0
2021-07,4호선,104,성신여대입구(돈암),31,8,5562,1584,16939,5698,41300,14702,51046,29822,30923,25498,22996,19683,21889,19262,24903,22733,24786,25027,23775,24744,25453,25696,29674,29538,33977,39503,38774,59451,24176,44785,21146,24713,23911,21377,20303,22137,3603,9550,5,7,1,0,1,2,0,0
2021-07,4호선,105,한성대입구(삼선교),121,20,6777,1096,11467,6618,27443,14614,35297,24518,22615,20795,16334,14502,15794,13065,18249,14573,17999,15199,16060,14608,17388,15712,23326,18453,23839,24307,26209,35249,13851,26713,10869,15706,10172,14374,8753,15445,1799,6797,1,1593,1,1,0,0,0,0
2021-07,4호선,106,혜화,25,1,2925,2600,6632,21859,16022,46293,20311,109290,22529,70509,27952,44689,30291,37059,30402,46013,30584,57991,38305,53121,52034,40568,62025,36022,83415,42230,101377,51538,49078,37080,44882,13591,66440,13802,49335,13444,7122,5784,1,176,0,0,0,0,0,0
2021-07,4호선,107,동대문,189,28,5495,3261,3168,14636,5147,37459,7301,76497,12151,64484,17067,51974,24330,45047,27529,33626,29495,33442,35369,32422,41834,26355,52602,19284,81760,13520,64990,9580,27726,12245,18476,8964,19098,5548,10150,4006,2453,4433,7,36,0,0,0,0,0,0
2021-07,4호선,108,동대문역사문화공원(DDP),216,4,6865,1369,3569,12228,5668,25202,7344,62814,7024,33213,7889,21416,11160,19239,13178,17571,14594,16888,17973,16865,23025,13972,27374,12277,45321,12604,64953,14126,31724,20646,22539,9686,21546,6497,16540,4966,4053,3792,2,271,0,0,0,0,0,0
2021-07,4호선,109,충무로,50,1,2706,2850,3872,18579,8043,54001,11479,165244,12189,88888,12540,40025,15915,29948,18592,28270,22938,28001,28077,24016,32056,20750,41759,20642,77423,22032,139871,25347,60039,14667,36675,7895,35425,7382,24454,7050,4381,3161,1,254,0,0,0,1,0,0
2021-07,4호선,110,명동,10,0,740,770,2025,12365,3517,37818,4741,98020,6325,52727,7806,29188,11748,25592,15395,23060,18344,23239,20886,21612,25310,18745,31933,16702,49154,16541,93704,16596,37927,9640,29665,4629,24373,3501,13359,2745,1616,972,0,124,0,0,0,0,0,0
2021-07,4호선,111,회현(남대문시장),31,0,1508,772,2960,18235,4313,48104,7232,117120,8281,86283,13035,62876,20896,49192,27281,38399,31766,33688,37166,30231,44348,25254,62126,18736,82105,13750,104575,12030,38494,6989,36890,3759,14265,4147,8238,3291,1482,1275,2,199,0,0,0,0,0,0
2021-07,4호선,112,서울역,142,1,3630,530,5205,9277,10623,27686,12664,66228,9398,31259,7763,16343,9075,14374,9916,16703,9746,16143,10358,15532,10924,17623,12959,17537,30924,20843,49887,24174,16590,16488,9759,10410,8738,9609,6529,9688,1509,3485,2,795,0,2,0,0,0,0
2021-07,4호선,113,숙대입구(갈월),6,2,2723,535,7304,6751,14625,19017,22490,44590,15563,25514,12445,13928,12803,12495,14009,12964,14167,13146,14298,13661,15052,13707,21101,15438,28290,19278,43340,27577,19774,18288,13504,10723,13849,10004,11453,9526,1910,3840,0,1,0,0,0,1,0,0
2021-07,4호선,114,삼각지,1,0,692,251,2169,2971,5607,10101,9014,23274,5394,9207,3859,6500,3780,5754,4494,5932,5019,5772,5093,5431,5614,5242,6647,5926,11997,8269,21308,12379,7912,8141,5569,4436,6400,3761,4992,3897,770,1545,2,136,0,0,0,0,0,0
2021-07,4호선,115,신용산,4,0,1190,934,3919,9605,9645,29153,14656,76574,11004,52758,9173,23932,11592,18820,12267,17968,14750,19083,15440,16547,18290,17086,24168,17246,44774,20420,74528,26480,35263,16250,23254,8340,20992,6921,14198,6115,2624,1940,0,0,0,0,0,0,0,0
2021-07,4호선,116,이촌(국립중앙박물관),33,2,1097,659,4515,6611,11038,12543,14610,24714,9971,15045,7037,10479,7291,9824,9129,11074,9025,11752,9607,10560,11701,10089,15250,10015,18505,12632,22607,18605,9109,12847,6938,7419,6919,6144,4150,6072,720,2145,0,1,0,0,0,0,0,0
2021-07,4호선,117,동작(현충원),20,1,587,350,1521,3065,4146,3808,4821,5427,3413,3437,2865,2811,2833,2352,2570,2265,2462,2440,2526,2619,2995,2943,3479,3254,4884,4132,5514,6167,2993,4551,2719,2925,2553,2179,1919,2204,512,977,0,141,0,1,0,0,0,0
2021-07,4호선,118,총신대입구(이수),90,6,6214,938,15402,9305,41258,16168,53055,40862,30265,31623,22238,23897,21857,21801,23236,23333,23395,24638,22628,25336,24289,27562,25502,31910,30851,43857,40923,66699,23504,43249,19756,22805,18219,18572,13857,17826,1757,7049,1,78,0,0,0,0,0,0
2021-07,4호선,119,사당,135,57,9687,1081,22854,14127,60810,19064,76047,29951,52947,21781,31267,18116,26580,19511,27563,21469,27046,21247,25013,20261,24036,24050,26389,29602,33069,44315,39389,69126,24787,45629,20627,25564,23843,22490,19274,23094,3203,10183,8,926,0,2,0,0,0,0
2021-07,4호선,120,남태령,46,0,445,106,845,1399,2200,2801,2626,3510,2389,1571,1942,992,1625,1125,1416,1045,1529,963,1374,1035,1381,1237,2100,1304,3055,1587,3108,1763,1190,1372,859,877,485,880,267,706,77,278,0,31,0,0,0,0,0,0
2021-07,4호선,95,당고개,37,0,8158,26,20042,7493,50977,8108,49680,13189,28245,11699,18928,12106,16626,11269,16350,12386,16197,12278,14546,12717,14080,15871,14828,18672,15807,24651,15000,37571,10394,34904,6601,21554,5082,18976,3895,18063,817,8962,1,122,0,0,0,0,0,0
2021-07,4호선,96,상계,69,2,13450,215,34334,7476,80472,12584,71302,18851,38721,15069,26165,14579,22757,14609,23281,17405,20813,17778,18871,18061,18110,21792,19996,27056,20063,37148,20322,61989,13384,59051,9563,32322,9190,27413,9861,25792,1727,12914,0,9,0,0,0,0,0,0
2021-07,4호선,97,노원,165,3,10107,462,23530,7098,49421,11921,52348,27939,29978,27858,22024,22403,21337,20435,23512,24240,22674,26408,22398,26631,23280,28371,25286,32496,27562,44489,29774,72736,20915,58022,22235,29576,22821,24198,18642,23672,2429,10847,1,1842,0,1,0,0,0,0
2021-07,4호선,98,창동,2028,12,15817,2992,36421,12826,84129,17162,73639,35940,46060,29300,34743,24505,32133,25449,32063,28939,31347,30698,28434,32311,29903,36904,32734,43455,35895,56035,37296,88174,22176,74973,17309,40662,16762,34056,12563,31422,2978,14924,156,2030,1,0,0,0,0,0
2021-07,4호선,99,쌍문,166,5,22626,916,50161,9565,112934,13970,122072,27160,68522,19436,43889,18260,35637,19537,36310,23227,33151,24419,29572,26245,27580,34277,28910,41960,30448,59398,30752,99785,18971,92118,13746,52488,12037,45496,8187,41502,2298,19876,4,320,0,0,1,1,0,0
2021-07,경부선,121,서울역,2,1,19,249,27,2095,8119,3452,12873,3998,7471,2844,6499,2154,7412,1235,7641,2168,7379,1859,5080,1859,8602,1952,10020,2542,9599,4407,12381,6979,10650,3188,6286,1675,9099,1304,5980,1277,2342,149,14,11,0,0,0,0,0,0
2021-07,경부선,122,남영,81,3,2596,1131,4434,7608,10439,17016,14564,44314,9809,24699,8006,9699,7501,8591,9090,8403,9058,9031,9132,8440,10367,8315,14122,9125,21811,12548,39711,18354,14970,12676,9661,7510,10350,6965,7650,6661,1366,2826,11,190,0,0,0,0,0,0
2021-07,경부선,123,용산,397,0,3447,4779,5212,27112,17380,60434,25345,122678,24286,86540,20508,63208,31785,48245,30878,49470,39002,52772,37993,47651,55909,45983,65063,45347,91021,48132,130509,55130,76656,39721,67158,22579,62947,16939,38692,11398,8287,3401,67,592,0,0,0,0,0,0
2021-07,경부선,124,노량진,559,8,4993,1728,7051,5503,14910,11317,20586,17148,11608,10409,8628,7566,8264,7292,9563,8602,11042,9171,9718,8154,9703,9562,11488,11127,15374,17464,17756,30152,10736,17834,10655,10206,12578,9262,10746,8568,1437,3628,14,273,0,0,0,0,0,0
2021-07,경부선,125,대방,508,13,6060,2553,9875,10207,26337,33010,34923,45535,18559,20740,13515,10390,12303,9575,12735,10043,12935,11966,12475,10673,14489,11128,16270,13797,28742,20431,41739,34267,15115,22651,10564,13910,9663,13682,6512,12479,1242,5002,25,512,0,0,0,0,0,0
2021-07,경부선,126,영등포,4417,71,16133,5535,15821,19111,35530,53859,47816,115210,33017,79791,29718,59050,32627,55771,39425,55457,43120,59830,45320,56001,53643,56669,65655,56426,85889,68577,133532,88845,74107,56314,75780,29149,62891,21999,44806,19512,7148,7923,32,983,0,0,0,0,0,0
2021-07,경부선,127,신도림,573,6,2269,667,3478,2716,9437,7308,10020,14901,5872,6261,3868,4277,3401,3458,3732,3632,3600,3891,3637,3561,3762,4177,4517,4904,7988,7713,14629,12252,5466,7655,4379,4063,4879,3683,3140,3235,707,1500,4,567,0,0,0,0,0,0
2021-07,경부선,151,신길,838,7,10723,2023,10509,5753,21460,13891,28157,23381,16506,9087,9966,5784,8395,5625,8867,6430,9007,6517,8113,6509,8798,7853,11270,9459,16276,14663,25341,21168,10828,14868,6798,9318,6069,10056,4295,9040,1098,3804,5,501,0,0,0,0,0,0
2021-07,경부선,249,구로,11281,26,24891,5417,18258,12949,33481,32219,34107,78589,22976,38826,17441,22137,17240,18394,17525,17701,18167,19000,18802,18499,21634,20141,26743,23311,45098,32956,64624,39617,26618,27504,17440,17211,16416,16615,10598,15577,2284,10578,11,4994,3,1,0,0,0,0
2021-07,경부선,250,가산디지털단지,1600,6,7720,2293,6788,11190,13458,52840,13510,148298,9730,71720,8226,20526,8909,13981,10305,12795,11246,13288,11790,12523,13535,12192,20284,14381,59982,19189,106558,23681,43542,18188,23840,10396,19226,10186,12058,9217,1782,3612,49,713,0,0,0,0,0,0
2021-07,경부선,251,금천구청,732,2,11887,1653,17685,5104,42462,15033,39652,27605,21191,11426,14385,8951,12134,8541,12062,10419,11246,11138,10803,10165,10750,13975,12085,15791,14667,24416,23016,41723,10469,31024,7538,15417,6326,14959,4640,13089,848,5586,20,314,0,0,0,0,0,0
2021-07,경부선,252,석수,542,5,8135,2961,15328,6852,35821,11824,34563,17218,18205,9761,11204,7340,9356,5753,9812,6398,8926,6408,8597,6590,9757,8663,12340,9841,15734,18125,16943,29921,8868,24956,5682,12842,4664,12840,3228,11355,815,4231,16,229,0,0,0,0,0,0
2021-07,경부선,253,관악,212,2,7591,2160,12391,4158,29377,5471,27574,8969,13293,7480,8640,7128,7297,5651,7423,6522,7162,5688,6699,6081,7123,6957,8993,8255,9808,13798,9519,25570,5380,20038,3958,10771,3855,10007,1976,9348,584,3952,20,294,0,0,0,0,0,0
2021-07,경부선,254,안양,267,12,14458,3084,29404,11061,74485,15647,65137,27541,33317,23036,23496,19470,22268,21781,23951,22638,23324,25272,22094,23644,24356,26740,28969,31518,30982,44567,30619,77123,19861,58108,17754,31290,19367,25273,14194,21621,2643,11480,66,783,0,0,0,0,0,0
2021-07,경부선,255,명학,157,0,6946,1787,10503,7496,23621,25511,20996,50983,9890,12418,7088,6127,6953,4934,7271,5550,6772,5875,6513,5623,7390,5644,10246,7027,21539,9993,35646,19048,11043,17067,11187,9143,6372,7324,3758,7393,825,4121,11,230,0,0,0,0,0,0
2021-07,경부선,256,금정,471,5,23156,6726,32635,23001,76355,40157,74743,84573,41372,28756,26507,17968,24037,18788,25324,19363,23942,20467,21689,21421,23576,25739,30863,31901,49898,49087,72074,75688,31128,61997,22576,35194,18935,35066,13073,30884,3365,15732,52,2046,0,0,0,0,0,0
2021-07,경부선,257,군포,101,1,5505,1935,8764,8969,17181,30605,15628,43469,8795,7149,6135,4124,5622,4322,6025,4459,5483,4733,5458,4957,5948,5217,8105,6681,19648,8544,35290,14876,11527,11392,9766,7179,5571,5822,3657,5531,826,2339,12,140,0,0,0,0,0,0
2021-07,경부선,258,의왕,181,2,6566,1834,12440,8144,27649,24231,26356,24841,11501,8238,8751,5341,8297,5564,8330,5868,7851,6861,7795,6591,7731,7869,10684,10717,20913,14939,23181,26381,10185,18562,6601,13101,5522,10283,3327,9637,970,5022,21,296,0,0,0,0,0,0
2021-07,경부선,259,성균관대,168,1,7794,1778,24720,5182,59986,8321,46562,17137,20480,11310,14471,9248,13035,9495,13925,10741,12450,12844,12007,11912,12067,13577,15032,18152,18897,28592,20446,52026,10820,43598,9053,25835,8780,21837,7608,18899,1774,9200,39,676,0,0,0,0,0,0
2021-07,경부선,260,화서,445,1,7341,1795,18780,4427,35946,4936,25650,8941,10741,5604,7525,4362,6968,4640,6507,4950,6289,5656,5525,5999,5861,6691,8091,8178,8864,14897,8716,29774,4802,24233,3523,13807,2857,9777,2537,9398,702,4536,20,502,0,0,0,0,0,0
2021-07,경부선,261,수원,1876,34,17316,6931,30766,27370,63940,42716,53820,58610,33194,52469,30345,46818,35317,46722,37802,53932,39301,53902,41393,54766,48106,51914,60252,58541,69918,69317,80457,97269,60192,75373,64810,41698,50581,31404,41263,28170,8332,14072,94,2898,0,1,0,0,0,0
2021-07,경부선,262,독산,642,6,7477,2975,16483,13316,37240,41569,35684,94236,18245,41440,13023,14574,12363,10728,13532,11767,13434,11858,12816,9878,14761,12982,21818,14759,48697,21784,70359,38493,31011,31171,17069,15602,11419,16628,7603,15088,1485,5566,43,410,0,0,0,0,0,0
2021-07,경부선,263,세류,453,2,3173,772,6814,2854,13220,4178,8497,4050,4104,2524,3164,2402,3134,2551,3035,2717,2782,2801,2744,2799,3081,3173,3967,3712,4832,5242,4893,10010,2943,8280,2218,4939,1927,4321,1230,3706,312,1728,2,379,0,0,0,0,0,0
2021-07,경부선,264,병점,2788,12,7209,3752,22550,10941,45488,21596,31276,23049,18907,11395,15830,9214,15945,11321,15986,11631,14769,12595,14299,13174,16909,15492,20669,18402,25936,25896,29839,40666,15677,36845,11133,25050,9513,19873,7244,19046,1695,10102,19,3199,0,0,0,0,0,0
2021-07,경부선,265,세마,207,1,1926,470,4885,1292,9041,3370,6875,7782,4481,2195,3127,1604,2896,1969,2984,1923,3188,2258,2672,2286,3019,1971,3373,3520,4578,4544,6438,6882,2633,7373,1740,3917,1441,4024,876,3398,355,1478,23,74,0,0,0,0,0,0
2021-07,경부선,266,오산대,344,1,2351,639,5551,2298,10366,3953,7541,6858,3930,2340,3164,2874,2998,2769,3159,2877,3884,3251,3375,3334,3592,2654,4499,4135,5526,5309,7787,9577,3562,7196,2508,4301,2431,4469,1681,3231,645,1774,56,104,0,0,0,0,0,0
2021-07,경부선,267,오산,380,4,5500,2176,13132,8076,20200,26240,17420,18650,12992,10388,11680,8832,12047,8411,13578,9724,11983,11010,11602,10320,12807,12132,16225,14858,22588,17468,24659,24525,13361,18746,10763,16059,7899,12876,4787,8401,1499,4925,88,330,0,0,0,0,0,0
2021-07,경부선,268,진위,32,0,689,218,1262,2539,2582,6884,2198,6993,1374,1382,1134,1009,1334,936,1467,932,1340,1025,1300,949,1740,969,2371,1336,5592,1599,8436,1847,2736,2100,1958,1260,1054,1231,553,1014,230,615,3,58,0,0,0,0,0,0
2021-07,경부선,269,송탄,79,2,5838,729,6895,2764,11869,5101,8892,6453,6560,3853,5846,3286,6092,3237,5884,4406,5630,4261,5163,4947,5356,5199,6424,6487,7422,8980,8421,10528,4786,11153,3571,7136,3005,6229,1824,6144,655,4403,34,342,0,0,0,0,0,0
2021-07,경부선,270,서정리,38,0,3376,4312,8292,6531,11400,10407,10186,12583,7849,5896,7045,5347,7433,5207,8774,7200,7999,7059,8118,6046,8688,6830,10159,9542,18787,11841,16190,12075,8041,11697,6281,8898,4415,6569,2188,6608,745,4295,15,396,0,0,0,0,0,0
2021-07,경부선,271,평택지제,8,0,1279,3596,3067,6873,7139,9200,4992,6616,3051,3343,2857,1850,2701,2447,3781,2618,2428,2694,3176,2678,4510,2925,5153,3447,9817,4095,8999,6349,5246,4669,3328,3611,3171,3091,2371,2708,832,1406,1,90,0,0,0,0,0,0
2021-07,경부선,272,평택,145,3,6626,2642,13253,7479,23213,13517,18960,20924,15826,15755,15781,13057,15302,16259,15939,16530,15986,16617,16054,18350,16781,17948,19871,20467,25733,24767,24938,29922,17594,20953,17893,15663,12433,13024,9433,10025,3340,5964,9,969,0,0,0,0,0,0
2021-07,경부선,273,성환,20,1,1628,560,2969,2215,5155,8969,5052,9101,4321,3596,4228,3224,3935,3540,4096,3947,4533,3631,4336,3530,5719,3865,5805,4237,9465,5300,8510,6108,3549,4859,3555,3976,1881,3912,949,3225,429,2147,35,571,1,0,0,0,0,0
2021-07,경부선,274,직산,70,0,403,275,1150,904,1529,2400,1089,2837,858,894,839,680,836,681,883,738,866,781,825,748,1098,799,1041,878,2355,1158,2963,1347,985,1386,718,825,560,757,342,663,158,670,22,117,0,0,0,0,0,0
2021-07,경부선,275,두정,1277,3,4223,573,7785,2276,11924,5744,9649,8021,6898,8251,6066,6771,5967,7200,6230,8969,6403,7269,6206,6363,7510,5885,8236,7623,11556,9945,14374,15506,6671,10516,5116,8705,4593,6229,3285,5754,1824,5875,22,1414,0,0,0,0,0,0
2021-07,경부선,276,천안,1217,1,2800,535,5033,2828,7909,4696,6860,8993,8137,8796,6760,8084,8679,10378,8318,11976,9043,10887,10069,9369,11639,9700,12169,9469,11228,11620,10963,12704,7287,8611,6489,7047,4411,4709,2757,3375,1221,2805,10,917,0,0,0,0,0,0
2021-07,경부선,277,당정,24,0,3723,1037,9944,2619,23635,8566,19980,13543,9845,4917,6563,3445,5971,3666,6008,3957,5663,4338,4920,4422,5895,4871,6179,6630,8760,10063,12750,18396,4906,17266,3849,10536,2898,8361,2319,7961,720,4071,26,221,0,0,0,0,0,0
2021-07,경부선,278,서동탄,1,0,1091,5,4168,848,9401,1933,3328,1462,1848,873,1237,649,1394,1194,1196,971,1237,1032,1184,1141,1467,1617,1625,1482,1781,2149,2425,4014,931,5534,772,2276,534,1554,387,1922,55,1113,2,489,0,0,0,0,0,0
2021-07,경부선,279,광명,0,0,10,1748,2553,3846,11373,4852,8999,4370,4454,3593,2526,2761,4106,1800,3103,5060,2950,88,2605,5007,5415,2703,2631,3515,6426,4644,7005,10769,6424,6507,3400,2767,2620,4097,1454,1864,442,25,1,0,0,0,0,0,0,0
2021-07,경인선,293,개봉,1407,4,18517,6075,34897,12442,81808,15073,76979,22070,43846,18515,28282,15386,25889,16847,25370,19873,23459,19604,20945,22197,20405,25913,25026,34964,27209,50983,26787,86555,15892,63550,11945,35098,10360,31996,7408,27985,1981,10831,17,767,0,0,0,0,0,0
2021-07,경인선,294,오류동,807,5,12960,2120,17454,4986,47102,6469,46721,11376,25133,11092,17151,9096,14780,9478,15539,11133,14084,11397,12573,12632,12387,14538,13159,16831,13595,24979,13385,42816,7535,34323,5966,19503,5212,17894,4003,15201,1114,6526,16,478,0,0,0,0,0,0
2021-07,경인선,295,역곡,1217,9,27826,4466,43065,10120,109964,12184,105778,26146,54563,21373,33517,18391,28722,21215,29232,23997,26652,23699,23903,25353,23599,27741,26601,42213,31320,59481,29275,103569,17783,89184,14966,48152,13320,40366,10322,37791,2404,16785,23,508,0,0,0,0,0,0
2021-07,경인선,296,부천,2904,16,36670,5381,41887,12420,97808,17637,96625,40389,52380,39012,38736,34379,38735,33783,40002,39053,38713,41032,36846,42025,38673,44834,42602,53068,47958,74216,52605,117359,34430,89690,28446,47006,30636,42496,23970,36075,4966,18744,43,971,0,0,0,0,0,0
2021-07,경인선,297,송내,1871,8,15757,7768,35860,14695,97351,28628,79729,66764,40984,38072,28722,20426,28538,20257,27836,21745,26642,21956,24467,22873,25553,24289,31439,31905,36859,48428,64386,85014,28247,75745,18712,40165,17089,34066,14220,31305,3734,14092,94,555,0,0,0,0,0,0
2021-07,경인선,298,부평,8141,49,20072,5410,34068,11183,75907,18505,71263,33067,39752,37979,31877,33750,33706,36799,35458,43353,36619,49107,36427,48294,40143,48579,45538,58918,53269,72393,52192,107395,38483,85601,36506,42889,41252,35557,35580,31906,6589,15313,347,1876,0,0,0,0,0,0
2021-07,경인선,299,백운,137,1,7799,1848,13099,4256,26700,4178,22494,8035,12889,5658,9800,5359,9226,6201,9058,7200,8376,7152,6988,7263,7199,8583,8419,11323,9488,14341,7988,21962,4458,21135,3383,11818,3327,11064,2003,9414,825,4846,47,532,0,0,0,0,0,0
2021-07,경인선,300,동암,702,6,19325,4413,26945,10221,50588,13536,45443,16517,26650,13271,19762,12584,18327,14137,18162,14642,17540,15730,15819,14856,15163,18773,18605,23540,21662,33310,21899,47269,12932,43679,10028,26432,9374,23855,7207,22432,1937,10652,79,1087,0,0,0,0,0,0
2021-07,경인선,301,주안,1223,20,13206,3991,24398,8869,56456,15866,47983,26457,30361,19337,21518,14253,21853,13845,23483,16954,22639,15961,20459,18542,21836,18906,25731,24427,31971,31416,32932,49089,18535,52411,15582,26707,15301,23378,12001,21180,2747,13168,126,1711,0,0,0,0,0,0
2021-07,경인선,302,제물포,943,4,7366,1749,13884,4501,36243,11466,28728,22980,16505,11141,12452,7703,12708,7507,13153,8939,12508,9532,10789,9217,12009,9682,13937,12474,15488,17904,19470,27696,7879,26250,5388,15248,4495,14251,3209,13042,949,7328,17,1265,0,0,0,0,0,0
2021-07,경인선,303,동인천,1678,3,6843,2846,15242,11603,37421,21879,28175,29669,18270,14348,15730,15285,17614,16730,19109,16297,18642,18152,18113,17154,20017,16369,23117,18833,31756,22386,34722,30956,15566,30669,11355,16869,9203,13280,5915,13281,1282,6389,8,1408,0,0,0,0,0,0
2021-07,경인선,304,인천,292,13,1355,1123,2902,3868,5321,5514,4547,7718,2956,3852,3073,4373,4179,6175,5535,6603,6517,6126,7512,5671,7974,4954,8867,4548,11422,3680,10962,3452,5009,2729,4381,1813,3338,1503,1907,1162,341,692,7,421,0,0,0,0,0,0
2021-07,경인선,305,구일,309,21,3774,1525,9467,3164,24423,6381,21705,10071,11011,5428,7830,3848,7030,4156,6957,4610,6301,5337,5643,5537,6241,6881,6803,8527,7732,13385,9642,25394,4408,19131,3322,9988,4867,8794,3132,7741,687,3102,10,169,0,0,0,0,0,0
