사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-07,9호선2~3단계,638,석촌고분,120733,120800,26879,26752
2021-07,9호선2~3단계,639,석촌,170846,151059,26676,23292
2021-07,9호선2~3단계,640,송파나루,98999,108558,20811,21320
2021-07,9호선2~3단계,641,한성백제,49331,46076,12433,11525
2021-07,9호선2~3단계,642,올림픽공원(한국체대),127734,126483,19959,19563
2021-07,9호선2~3단계,643,둔촌오륜,22177,20003,5056,5203
2021-07,9호선2~3단계,644,중앙보훈병원,171704,148633,68247,66898
2021-07,우이신설선,702,북한산우이,47274,42675,29809,31025
2021-07,우이신설선,703,솔밭공원,37617,34751,23928,25698
2021-07,우이신설선,704,4.19민주묘지,41699,40672,29906,26839
2021-07,우이신설선,705,가오리,64351,62826,38461,40234
2021-07,우이신설선,706,화계,50185,45037,33481,33975
2021-07,우이신설선,707,삼양,28412,29319,22414,24970
2021-07,우이신설선,708,삼양사거리,32488,33303,30029,30393
2021-07,우이신설선,709,솔샘,104715,96210,30112,31430
2021-07,우이신설선,710,북한산보국문,110715,104187,33661,34452
2021-07,우이신설선,711,정릉,73393,67201,36211,34042
2021-07,우이신설선,712,성신여대입구(돈암),56310,65683,23187,21812
2021-07,우이신설선,713,보문,25625,25396,11892,11918
2021-07,우이신설선,714,신설동,31387,31503,21039,18216
